Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"PORTIA WOODMAN IS INSANE Also I’m sick of tiktok not allowing me to use sounds but yall get the point 😂  #rugby #portiawoodman ","6651","405","5","2","9","https://www.tiktok.com/@ariana.ramsey/video/7508037833387576622"
"Come try curling with me!! Make sure yall tune into the Winter Olympics in Milan in Feb 2026! ","1759","142","1","5","3","https://www.tiktok.com/@ariana.ramsey/video/7507894112016911662"
"DAY 5: 30 DAY AB CHALLENGE have you guys been tapping in?! #abworkouts #abchallenge #rugby #olympian ","606","52","0","1","3","https://www.tiktok.com/@ariana.ramsey/video/7507717417402125614"
"DAY 3:  LETS GOOO #abchallenege #abworkouts #workouts ","624","65","2","2","5","https://www.tiktok.com/@ariana.ramsey/video/7507324148218072366"
"DAY 3: The bicycle crunches really got me today yall 😭😭  #abchallenege #abworkouts #rugby #olympian #fyp ","660","71","7","0","5","https://www.tiktok.com/@ariana.ramsey/video/7506920813099076910"
"DAY 2: 100 REPS A DAY LETS GOOOO  Full program link in bio 🥳 #fyp #abchallenge #abworkouts #rugby #olympian  ","709","82","1","3","5","https://www.tiktok.com/@ariana.ramsey/video/7506598164498189614"
"The 30 day ab challenge is back! Go check out the link in my bi! If you wanna join along with me, let’s get those abs right for Summer! #rugby ##abworkout##abchallenge","606","67","2","2","5","https://www.tiktok.com/@ariana.ramsey/video/7506253027465039146"
"3 things I wish I knew before playing rugby! What other questions do you have about being an Olympic athlete or just playing rugby in general? #rugby #olympian ","881","146","10","2","1","https://www.tiktok.com/@ariana.ramsey/video/7505171402451045678"
"My big toe is always the most bruised part of my body for some reason  😂😂 #rugby #fyp ","2083","176","6","5","1","https://www.tiktok.com/@ariana.ramsey/video/7504380178869587246"
"SURPRISEEE","833","93","8","1","1","https://www.tiktok.com/@ariana.ramsey/video/7504019501806161198"
"hehehe  ","1173","94","4","0","0","https://www.tiktok.com/@ariana.ramsey/video/7502158433966247210"
"If you’re not watching rugby this weekend what are you doing!!??#rugby #olympian #lasevens ","2632","363","17","4","5","https://www.tiktok.com/@ariana.ramsey/video/7499905783157493035"
"THEY SLAP #rugby #olympian #cheatsnacks #bestsnacks ","733","32","2","0","1","https://www.tiktok.com/@ariana.ramsey/video/7498519086582762795"
"Day in the life of an Olympian ✨😏😏 #rugby #usarugby #olympian #blackolympian ","753","79","6","1","0","https://www.tiktok.com/@ariana.ramsey/video/7498507348093259054"
"Yesss thanks Lo 🥳🥳 @Ilona Maher ","1453","151","8","3","3","https://www.tiktok.com/@ariana.ramsey/video/7497030912194956590"
"come with me to watch the fastest man in the Paralympics run 😏😏 #paratrack #travk #olympian #paralympian ","1144","115","4","0","0","https://www.tiktok.com/@ariana.ramsey/video/7495543085229755694"
"RUGBY WORKOUT! Get into your fitness goals it’s almost summer ladies and gentleman 👏🏽👏🏽👏🏽 #rugby #fyp #olympian #usarugby ","946","98","7","2","5","https://www.tiktok.com/@ariana.ramsey/video/7495059018625584430"
"Did not get the result we wanted but here we are! We keep going and striving for the result we want in LA!!!  #rugby #la2028","1023","114","5","0","0","https://www.tiktok.com/@ariana.ramsey/video/7491802466816658730"
"Shenanigans 😂😂","1448","129","3","4","2","https://www.tiktok.com/@ariana.ramsey/video/7488716589307563306"
"WE MADE ITTT #hongkong ","1958","266","3","1","3","https://www.tiktok.com/@ariana.ramsey/video/7485503433261239594"
"I don’t know anything about that last once I don’t ask 😂 #rugby #scrum ##olympian","2330","274","6","7","7","https://www.tiktok.com/@ariana.ramsey/video/7482501607406505258"
"When you think it’s over, you prob still have some more in the tank 🤞🏽💕 #fyp  #rugby #olympian #usarugby ","9780","1513","16","2","5","https://www.tiktok.com/@ariana.ramsey/video/7480698554416106794"
"😂😂😂 this was fun to make #rugby #rugbycalls #olympian","2393","277","4","6","5","https://www.tiktok.com/@ariana.ramsey/video/7479196515148320043"
"GIRLS CMON 😆 #rugby #olympian #usarugbgy ","4988","1027","16","4","7","https://www.tiktok.com/@ariana.ramsey/video/7477310422371110186"
"This is my pregame hype activity, listening to music and braiding my hair! 🥳🥳✨ ##naturalhair##usarugby##rugby##fyp","1288","150","8","0","4","https://www.tiktok.com/@ariana.ramsey/video/7476645585680878891"
"#CapCut #gamenight #minutetowinit #teamideas ","14500","108","2","21","76","https://www.tiktok.com/@ariana.ramsey/video/7475908479610473774"
"ITS VAN SVNS LETS GOOOOO  We’re live tomorrow and make sure you tune in on RugbyPass TV @Vancouver Sevens #vansvns  FRI, FEB 21 VS CHINA 5:44 PM ET vs IRELAND 11:14 PM ET. WATCH LIVE RUGBYPASS TY SAT, FEB 22 vs NEW ZEALAND 5:24 PM ET WATCH LIVE RUGBYPASS TY","1160","111","7","2","1","https://www.tiktok.com/@ariana.ramsey/video/7473605573863509294"
"","1381","115","4","1","0","https://www.tiktok.com/@ariana.ramsey/photo/7472198080004377902"
"A little bit of my journey ❣️💌 #rugby #olympian #paris2024 #parisolympics #LA2028 ","13800","2174","34","5","26","https://www.tiktok.com/@ariana.ramsey/video/7472089118185475374"
"Hate should not be normalized in our society and is something that we can combat on a daily by doing the small positive things! #whatsupwithhate @What’s Up With Hate ","915","71","3","2","0","https://www.tiktok.com/@ariana.ramsey/video/7470628547300937006"
"","712","59","12","0","0","https://www.tiktok.com/@ariana.ramsey/video/7470608459361340718"
"Guys, I’m finally doing my Nike hall, but this is what I got from the company store! Another haul coming soon because I have more on the way lol #nikehaul #nike @Nike ","1135","71","9","0","1","https://www.tiktok.com/@ariana.ramsey/video/7470586748263746859"
"","2736","138","4","1","0","https://www.tiktok.com/@ariana.ramsey/video/7467318294580612395"
"WATCH LIVE ON RUGBYPASS TV APP THU, JAN 23 vs FIJI 11:06 PM ET FRI, JAN 24 vs GREAT BRITAIN | 3:43 AM ET SAT, JAN 25 vs CANADA 1:41 AM ET FINAL ROUNDS BEGIN SAT JAN 25 6:03 AM ET WATCH LIVE RUGBYPASS APP","1270","145","7","0","1","https://www.tiktok.com/@ariana.ramsey/video/7461372374991080746"
"Does slick deserve to go through? 🤔 the plot continues #rugbyandflow #rugbytok #rugbytok @suglizz @Aut ","825","49","2","0","0","https://www.tiktok.com/@ariana.ramsey/video/7458092998706859307"
"#fyp #rugby #rugbytok #olympian ","2703","239","7","0","2","https://www.tiktok.com/@ariana.ramsey/video/7457295167276600619"
"YOOO we just dropped a new series called Rugby & Flow!! Make sure y’all tune it 😂😂@Nia Toliver @suglizz @Aut ","1256","125","4","0","1","https://www.tiktok.com/@ariana.ramsey/video/7456928420300115243"
