Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"Happy Fall! #fall #foodtok #pasta #recipe #cook #cozyathome #pumpkinseason #fypシ                                                 ———-Recipe———— INGREDIENTS  - 2 cups cherry tomatoes  - 1 tbsp olive oil  - 1/4 cup heavy cream - 1/2 cup chicken broth  - 1 block feta  - 1 tsp salt  - 1/2 tsp pepper - 1/2 tsp basil  - 1/2 tsp oregano  - 1/2 tsp onion powder  - 1 pd spicy (or regular) sausage  - 1/4 cup chopped onion  - 1 large clove minced garlic  - 2 cups spinach  - 1 bag cheese tortellini  - 1/2 cup parmesan DIRECTIONS - Preheat oven to 425 degrees F  - Mix tomatoes, oil, and spices in glass pan - Place block feta in middle  - Add heavy cream and broth  - Bake for 20 min  - Cook sausage over medium heat with onion and oil  - Grill until brown  - Add spinach and garlic, simmer 2-3 min  - Add sausage mix to tomatoes and bake for 5 min  - Cook pasta for 2-3 min and add to glass pan  - Add parm and let cool for 10 min then serve :) ","2328","59","1","4","18","https://www.tiktok.com/@call.me.kekes/video/7284060413203926303"
"its on repeat 😭😭 #ariana #dance #cat #bunny #fyp ","1964","94","0","2","3","https://www.tiktok.com/@call.me.kekes/video/7269204987262045486"
"half corn half flour! #food #fyp #enchiladas ","2360","96","0","1","7","https://www.tiktok.com/@call.me.kekes/video/7269187179321232686"
"#kenough and im great at doing stuff  #beach #ken #barbie #fyp ","3025","152","2","1","8","https://www.tiktok.com/@call.me.kekes/video/7263950279056444715"
"the difference btwn what we eat 😭@Daniella Ramirez #japan #fypシ #competition #worldcup #artswim ","1818","68","2","1","2","https://www.tiktok.com/@call.me.kekes/video/7256623020893097258"
"japanese vitamin c drink! #japan #seveneleven #vitc #drinktok #travel #fypシ #japanesefood ","2533","65","0","2","3","https://www.tiktok.com/@call.me.kekes/video/7254884783900101934"
"sunset in japan ☀️☀️☀️","1184","37","0","0","1","https://www.tiktok.com/@call.me.kekes/video/7254130879633640746"
"can barely get though one tiktok #fyp #japan #trend #wifi @Daniella Ramirez ","4051","169","9","9","5","https://www.tiktok.com/@call.me.kekes/video/7253672736508120362"
"one of those kinda nights… #fyp #catsoftiktok #gbbs #greatbritishbakingshow ","1432","29","0","1","1","https://www.tiktok.com/@call.me.kekes/video/7236085449087946030"
"brunch with my mom! #getreadywithme #fypシ #fyp #birks #brunch ","2022","123","5","1","3","https://www.tiktok.com/@call.me.kekes/video/7235744594045062443"
"#fypシ #catsoftiktok ","1750","172","1","5","5","https://www.tiktok.com/@call.me.kekes/video/7231718264034987310"
"shelter to now ❤️#rescue #rescuecat #adopt #cassi #fypシ ","1009","27","0","0","2","https://www.tiktok.com/@call.me.kekes/video/7228501163480501546"
"fries were good game was bad 😂@landonmlz #fries #game #fyp ","1717","30","2","0","3","https://www.tiktok.com/@call.me.kekes/video/7227923905699204398"
"ignore my socks pls 😅#food #tacos #fypシ ","1123","30","0","1","4","https://www.tiktok.com/@call.me.kekes/video/7223885044815793450"
"#parkour #cat #fyp ","901","24","0","0","1","https://www.tiktok.com/@call.me.kekes/video/7223205620407668010"
"Hot Cocoa w/ Cinnamon! #food #cocoa #fyp #fypシ #cozyathome ","988","36","0","0","1","https://www.tiktok.com/@call.me.kekes/video/7222086705002745134"
"keana + zion + @landonmlz thrift hual #fyp #cat #thrift #crossroads ","2002","54","1","3","5","https://www.tiktok.com/@call.me.kekes/video/7220941312948751658"
"zion is the cutest😍🐰#cat #yourmyfav #fyp ","1028","63","1","0","2","https://www.tiktok.com/@call.me.kekes/video/7220854087447842091"
"looks like he’s cheating 🫠😂 @landonmlz #waterchallange #fypシ゚viral","3947","126","0","4","5","https://www.tiktok.com/@call.me.kekes/video/7220644766843866414"
"Easter Chocolate Chip Pancakes! #food #fypシ゚viral #easteregg #pancakes #catsoftiktok #cat ","3626","197","0","0","8","https://www.tiktok.com/@call.me.kekes/video/7220145757955951915"
"scary dog privilege #fyp #ReTokforNature  #beardeddragon","831","16","2","1","1","https://www.tiktok.com/@call.me.kekes/video/7137753832985120046"
"elliot enjoys licking leaves #beardeddragon #pnw #walkyoulikeadog","1148","26","2","4","1","https://www.tiktok.com/@call.me.kekes/video/7137751155068751147"
"my mom took my fork privileges away #fypシ","815","24","2","0","1","https://www.tiktok.com/@call.me.kekes/video/6955275261264825605"
"they look like angry rat balls i can’t  #greenscreen #hairlesscat #fyp @aliciayw","714","18","4","0","1","https://www.tiktok.com/@call.me.kekes/video/6906702125473058054"
"sus it do be lot of mixing doe #fyp","772","18","4","0","1","https://www.tiktok.com/@call.me.kekes/video/6824329975584312582"
