Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
"KNOX W ME FOR FREE TEAM!!  SHES BACKKKKKKK, going to be posting more from here on out to share as much as i can from worlds after taking a mental health breather from posting.  #artisticswimming #artisticswimmer #swimming #swimmingpool #knox #knoxgelatine #gelatin #peelies ",127300,4386,22,27,104,https://www.tiktok.com/@daniellaaramirezzz/video/7541136059799751967,8/21/2025 13:19
GUYS WE COMPETE TOMMOROW!!!  #artisticswimming #artisticswimmer #swimming #swimmingpool ,88300,1320,11,2,28,https://www.tiktok.com/@daniellaaramirezzz/video/7528365566835330334,7/18/2025 3:23
Ive updated the routine slightly since this but heres the makeup TUT for comp 🩷. The ambient noises really make this for me.  #artisticswimming #artisticswimmer #swimming #swimmingpool ,5200000,253300,145,778,9461,https://www.tiktok.com/@daniellaaramirezzz/video/7527138698811460895,7/14/2025 20:02
Shimmy a day as they say 🤣 Also MY ABS ARE SUNSCREEN I KNOW IT LOOKS CRAZY OKAY 🤣  #artisticswimming #artisticswimmer #swimming ,103900,1319,7,6,33,https://www.tiktok.com/@daniellaaramirezzz/video/7526184132863364382,7/12/2025 6:18
"#AD Everyone has a hair crime, but I've got it handled with @OGX Beauty #OGXpartner #damagedetected #bondproteinrepair ",244200,2261,19,20,139,https://www.tiktok.com/@daniellaaramirezzz/video/7512239839819894047,6/4/2025 16:27
Nothing beats an after-practice moisturizer like this! #vaselinepartner @Vaseline ,14400000,18600,38,147,515,https://www.tiktok.com/@daniellaaramirezzz/video/7511059870062316830,6/1/2025 12:08
Its hard being this cool all the time 🤧🫶🏽  #artisticswimming #artisticswimmer #swimmer #swimming #splits ,238300,4243,44,67,151,https://www.tiktok.com/@daniellaaramirezzz/video/7510261072595586334,5/30/2025 8:28
God is great  #artisticswimming #artisticswimmer #swimmer #swimming #knox #splits ,258900,5578,28,23,121,https://www.tiktok.com/@daniellaaramirezzz/video/7506607174588566815,5/20/2025 12:09
Hehehehehe #artisticswimming #artisticswimmer #swimmer #swimming #knox #earpeely ,274300,4025,33,33,117,https://www.tiktok.com/@daniellaaramirezzz/video/7506154940759362846,5/19/2025 6:54
ANOTHA ONE  #artisticswimming #artisticswimmer #swimmer #swimming #knox #pool #peelies #earpeely ,468800,4274,34,50,168,https://www.tiktok.com/@daniellaaramirezzz/video/7502530917542399263,5/9/2025 12:31
Replying to @STAR#1  i think im good hehehe ,485800,7866,40,23,167,https://www.tiktok.com/@daniellaaramirezzz/video/7501788501793344798,5/7/2025 12:30
Pinning is a the final touch and the best and worst part of the whole thing 🤨 #artisticswimming #artisticswimmer #swimmer #swimming #knox #pool ,3200000,85200,169,288,1847,https://www.tiktok.com/@daniellaaramirezzz/video/7501421692338720030,5/6/2025 12:47
Nothing like a good ol’ bun and knox !  #artisticswimming #artisticswimmer #swimmer #swimming #knox #pool ,13800000,480300,697,3884,14100,https://www.tiktok.com/@daniellaaramirezzz/video/7501031179752099103,5/5/2025 11:31
LOML @Clinique take the day off is The ONLY thing that takes off any and all my waterproof makeup ,338100,3187,26,10,133,https://www.tiktok.com/@daniellaaramirezzz/video/7500577628978547999,5/4/2025 6:11
YES MAAM thank you everyone for all your support on our free team debut yesterday!  #artisticswimming #artisticswimmer #swimmer #swimming #knox #peelies ,11400000,229200,221,2110,5517,https://www.tiktok.com/@daniellaaramirezzz/video/7500241300608847134,5/3/2025 8:26
"ITS PEELIES TIME PEOPLE! This may have been THE BEST one yet i must say, TUNE IN AGAIN TONIGHT FOR FREE TEAM 🫶🏽!  #artisticswimming #artisticswimmer #swimmer #swimming #knox #peelies ",10200000,476600,1566,14700,16500,https://www.tiktok.com/@daniellaaramirezzz/video/7499826650658475295,5/2/2025 5:37
Taking distractions to a whole new level 😂  #artisticswimming #artisticswimmer #swimmer #swimming #pool ,437200,10400,45,157,378,https://www.tiktok.com/@daniellaaramirezzz/video/7499141401800625438,4/30/2025 9:18
Year 3 Markham Canada Open ,277400,4330,30,38,96,https://www.tiktok.com/@daniellaaramirezzz/video/7498454626966998302,4/28/2025 12:53
Actually nobody says this but any excuse to flex HAHA  #artisticswimming #artisticswimmer #biceps #swimmer ,1200000,103000,55,566,1221,https://www.tiktok.com/@daniellaaramirezzz/video/7498067309211274526,4/27/2025 11:50
Day 1 of buffalo Camp before heading to Canada 🍁!!!  #artisticswimming #swimming ,243200,5497,14,30,167,https://www.tiktok.com/@daniellaaramirezzz/video/7497746172929477918,4/26/2025 15:04
@Nikki Dzurko makes everything fun 🤧🫶🏽  #artisticswimming #artisticswimmer #swimming #pool #swimmer ,282600,10300,77,1442,413,https://www.tiktok.com/@daniellaaramirezzz/video/7496691277392579871,4/23/2025 18:50
I TOLD YALL ID SAVE THE BEST FOR LAST EXCUSE ME?? this was so good wow  #artisticswimming #artisticswimmer #swimming #knox #peely #earpeely ,5200000,110500,184,1498,3893,https://www.tiktok.com/@daniellaaramirezzz/video/7495533173959314719,4/20/2025 15:56
"Literally the WORST, extra annoying if its in a runthrough 😂🥲 #artisticswimming #artisticswimmer #swimming #pool #swimmingpool #teamusa ",277100,6217,21,195,385,https://www.tiktok.com/@daniellaaramirezzz/video/7494279717441359134,4/17/2025 6:52
I dont think Molly Long thought she was going to be doing water choreo when she wrote this but heres our artistic swimming take on this hahaha @Nikki Dzurko  #artisticswimming #artisticswimmer #swimming #pool #swimmingpool #popmusik #mollylong ,191000,2549,11,39,78,https://www.tiktok.com/@daniellaaramirezzz/video/7494063300078996766,4/16/2025 16:53
literally one of my favorite parts of being underwater 🥹🤧  #artisticswimming #artisticswimmer #swimming #pool #swimmingpool #teamusa ,222300,4381,21,95,193,https://www.tiktok.com/@daniellaaramirezzz/video/7493369900396809503,4/14/2025 20:02
still waiting on my winn🤧🤧🤧🤧   #artisticswimming #artisticswimmer #swimming #pool #swimmingpool ,969000,34200,138,1114,1420,https://www.tiktok.com/@daniellaaramirezzz/video/7491827955979619614,4/10/2025 16:18
Which one are you? 😂 #artisticswimming #swimmer #swim #pool #swimming #teamusa ,179700,5133,45,83,273,https://www.tiktok.com/@daniellaaramirezzz/video/7490738411599383839,4/7/2025 17:50
Legend says I never came up 🥴 #artisticswimming #swimming #pool #swim #swimmer,344600,23700,70,1777,1027,https://www.tiktok.com/@daniellaaramirezzz/video/7489849865682373919,4/5/2025 8:22
No seriously what would u assume??  #zinc #sunscreen #burtsbees #makeupremover ,125500,1920,30,12,32,https://www.tiktok.com/@daniellaaramirezzz/video/7488844234213149982,4/2/2025 15:20
,101000,866,15,2,24,https://www.tiktok.com/@daniellaaramirezzz/video/7488124653114887454,3/31/2025 16:48
You would NEVER guess 😂 @Ian Gunther│Gymnastics Daily  #artisticswimming #gymnastics #gymnasticschallenge #artisticswimmer #tatemcrae ,91000,1055,16,6,46,https://www.tiktok.com/@daniellaaramirezzz/video/7487973218251296030,3/31/2025 7:00
My legs did NOT appreciate this after practice 🥴 #artisticswimming #olympian #artisticswimmer ,142200,6573,33,636,344,https://www.tiktok.com/@daniellaaramirezzz/video/7486625935622442270,3/27/2025 15:52
Legend says it never came out.  #artisticswimming #olympian #artisticswimmer ,251300,11000,73,385,519,https://www.tiktok.com/@daniellaaramirezzz/video/7485079965629811998,3/23/2025 11:53
@EGE I always walk out feeling more beautiful and even better more confident 🥹. ,67400,623,6,5,19,https://www.tiktok.com/@daniellaaramirezzz/video/7484111270854020383,3/20/2025 21:14
Album on REPEATTTTTT FRFR #artisticswimming #olympian ,81300,2538,13,57,152,https://www.tiktok.com/@daniellaaramirezzz/video/7483353652325895454,3/18/2025 20:14
