Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
Small disciplines repeated daily through consistency lead to great achievements gained slowly over time.  . #consistency #athlete #bobsleigh #olympics #tattoos #girlswithtattoos  #girlswholift #sprinting #push #squats #weights ,585,13,4,0,0,https://www.tiktok.com/@kailsarmbruster/video/7157021210490965290,10/21/2022 10:37
Our ivf update 💥 #ivfjourney #ivf ,547,15,3,0,0,https://www.tiktok.com/@kailsarmbruster/video/7156251715061255466,10/19/2022 8:51
"When a new toy comes out to play, the fire inside us gets 🔥 lit. Anything can be a competition 😉 athletes for life! I had the most fun with these amazing people playing around pushing stuff #bobsled #push #alpacachallenge #sledpushes #athlete #competition #funtimes @the_readystate ",645,4,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7155924188178451755,10/18/2022 11:40
"Worth the wait 💍🥇🇺🇸 today my USA Olympic ring came in.  I’ve gotten 5 of these now, but this is my first one with #teamusa  All 🇺🇸 Olympians can receive a ring post games that says USA Olympic team around the top. (only the gold medalist get a different inscription😉.) . I’m so proud and honored to be receiving this ring today. The ring signifies a team unity that I share with all other 🇺🇸 Olympic members. A celebration of what it means to achieve the Olympian title and represent your country at the highest level of sport.  Not every country gives out Olympic Rings, so this makes it one of a kind.  As the only female in Olympic history to win Gold for 2 separate countries, this specific ring has the most sentimental value to me. It’s a reminder that I risked everything, started over mid career, and was able to rise back up to the top. I couldn’t have done it alone, my team made it possible. Wearing this ring will remind me of the struggle, hard work, commitment, overcoming obstacles and teamwork that went into making the 2022 Olympics.  . #athlete #olympics #gold #bobsleigh @teamusa @usabobsledskeleton @olympics #frostyourself #icing #diamondrings #goldrings #reward ",3356,24,1,0,4,https://www.tiktok.com/@kailsarmbruster/video/7153697685889944875,10/12/2022 11:40
What would you do with Olympic medals?  🥇🥇🥇🥉 #athlete #olympics #gold #bobsleigh ,1586,21,2,0,2,https://www.tiktok.com/@kailsarmbruster/video/7152330817409240366,10/8/2022 19:16
"We did it, bought our first house together!  There’s no place like home. 🏡  Owning a home in California 🇺🇸 these days was something I didn’t know could ever happen. With rising prices and taxes, some days it seemed light years away from possible.  Today I am proud to say, we found a way.  Saving money and finding a rare gem we are now officially homeowners.  We have spent weeks of painting and making it feel like our own. A place we can grow into.  Home sweet home ❤️ #homeowner #house #family ",572,12,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7151798209076055338,10/7/2022 8:49
"I love cool runnings, it’s a classic…. But there are some parts in it that were only made for the movies….. we never sit in bath tubs to practice. #bobsled #coolrunnings #athlete ",556,24,2,2,1,https://www.tiktok.com/@kailsarmbruster/video/7151074851137146155,10/5/2022 10:02
"I don’t normal take a back seat, but in this case I’ll gladly make an exception.  Getting to do a lap @indycar with one of the best in motor sports, Legend Mario Andretti 🐐 he’s unbelievable! Was an amazing experience I will never forget. I had the most fun!  .  @Andretti Autosport    #marioandretti #racing #racecars #indy #pov #drivers #speed",530,5,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7144835899380124974,9/18/2022 14:32
"Some days motivation is overflowing, others days it’s not so easy. Even the best of us as athletes have low motivation days, but don’t let it stop you. The trick is to find ways to keep consistent and stay the course.  Goals and dreams aren’t meant to be easy to achieve.  Some days music helps me, finding the right song. Other days I remind myself of why I am doing this. A change in environment, having a workout buddy or lighten the load also works……but I never give up or quit. Nobody is coming to do it for me.  Reminder; Your dreams only work if you do. . #athletes  #hacks  #tricksandtips  #workoutmotivation  #consistency  #stepbystep  #daybyday  #strong  #mentalstrength  #putinthework  #worthit  #olympicspirit  #mindset  #yellowstone  #country #duttonranchfreestyle ",582,7,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7143015702948187434,9/13/2022 16:49
37 is the new 16 🎉 🎈 #happybirthday #ageisjustanumber #feelinggood ,526,10,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7139636468552699182,9/4/2022 14:15
There were days I use to only dream of being able to have the things I’ve accomplished now.  . #lookback #proud #athlete #bobsled #olympics #monobob #goldmedal #champion #topoftheworld #goals #dreams #littlegirl #dreambig #shootforthestars @Team USA @USA Bobsled/Skeleton @Olympics @NBCOlympics ,449,9,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7139194953007156522,9/3/2022 9:42
New running shoes is always a vibe   #newbootgoofin #athlete #workoutmotivation @Oakley #running ,1386,4,0,1,1,https://www.tiktok.com/@kailsarmbruster/video/7136612507904462126,8/27/2022 10:41
Let’s get this party started 🏋🏼‍♀️ #okwellthatsyou #turnup #splitsquat #workout #excercise #likeaboss #fire #chasingdreams,446,3,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7102126165938195755,5/26/2022 12:16
Motivation is what gets you started. Habit is what keeps you going #running #workout #hotelgym #startingover #jigglejiggle #wigglewiggle,230,5,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7101826710110309674,5/25/2022 16:54
Sun is shining #hawaii #coastline #crusing #tattoo #girltattoo @Oakley,184,8,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7099439569963076906,5/19/2022 6:31
Imagine if your head was this big too … #proudaunt #auntielife #love #family #bighead #babies #babylove #adorable #thecutest,647,5,0,1,2,https://www.tiktok.com/@kailsarmbruster/video/7090939117000789291,4/26/2022 8:45
2 peas in a pod #father #daughter #firstborn #family #love,773,9,1,2,0,https://www.tiktok.com/@kailsarmbruster/video/7089515747214429483,4/22/2022 12:41
The grind #workout #quarantine15 #noexcuses,382,6,2,0,0,https://www.tiktok.com/@kailsarmbruster/video/6818313491091311878,4/21/2020 16:38
She’s the fearless type .... or she knows I’m a push over when it comes to her and not scared #goldendoodle,279,6,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/6813152734720593157,4/7/2020 18:52
Rock on #furbaby #lullaby #workout #abs #partnerincrime,403,12,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/6811285973381418245,4/2/2020 18:08
