Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
"i get a lot of questions from people asking if i felt nervous at the Olympics… yes!! of course i did! it was the biggest competition of my life. that being said, i also had years of training for my mind to overcome nerves and accept them as an opportunity for growth instead. i treated the games as a challenge to stay calm and do what i do at every meet: take one thing at a time. staying present in the moment has gotten me through a lot of tough moments in my career. i truly believe it can make all the difference in athletic ability. #athlete #trust #advice #nerves #sports #trending #fyp #trend ",1680,173,0,1,5,https://www.tiktok.com/@call.me.kekes/video/7507812286732553502,5/23/2025 18:06
this is super random but food for thought just saying #straw #random #trending #water #fyp ,1137,64,1,7,1,https://www.tiktok.com/@call.me.kekes/video/7507432372887964959,5/22/2025 17:31
will post the event soon! #olympian #event #fyp #getreadywithme #viral ,1187,67,3,2,2,https://www.tiktok.com/@call.me.kekes/video/7507096459586702622,5/21/2025 19:48
it was definitely a unique experience… #storytime #fyp #california #adventure #viral #sports ,1061,75,1,2,3,https://www.tiktok.com/@call.me.kekes/video/7506692312227941662,5/20/2025 17:40
i got the rythym down tho #artisticswimming #dance #rockyourbody #viral #trending #fyp ,27400,2392,7,101,101,https://www.tiktok.com/@call.me.kekes/video/7506752198668258591,5/20/2025 21:32
it’s even worse now because i’ve been on a break 😭#swimming #artisticswimming #trending #fyp ,4330,429,0,29,8,https://www.tiktok.com/@call.me.kekes/video/7506318416538635550,5/19/2025 17:29
happy sunday ;) #sunday #calm #trending #fyp ,1053,70,3,2,3,https://www.tiktok.com/@call.me.kekes/video/7505919264096898334,5/18/2025 15:40
"that’s all, nutella 4 life ;) #foodie #foryoupage #trending #athlete ",2627,135,3,1,1,https://www.tiktok.com/@call.me.kekes/video/7505612645953719582,5/17/2025 19:50
don’t start w me 🙉🙈 #fyp #artswim #friends ,11400,1718,8,52,67,https://www.tiktok.com/@call.me.kekes/video/7505282378730917150,5/16/2025 22:28
tell me i’m not the only one who experiences this when home from college 😂 #fyp #catsoftiktok #dogsoftiktok #college ,987,73,2,0,1,https://www.tiktok.com/@call.me.kekes/video/7504740879958101278,5/15/2025 11:27
i have a love hate relationship with barracudas :): always trying to improve! #artswim #fyp #sports ,4765,343,4,6,26,https://www.tiktok.com/@call.me.kekes/video/7504825936064351518,5/15/2025 16:57
like all they want is to be loved and safe 🥺🥺 #catsoftiktok #shelter #rescue #fyp ,1159,60,1,2,2,https://www.tiktok.com/@call.me.kekes/video/7504490414418808094,5/14/2025 19:15
what helps you do better at practice? also lmk if anyone wants to know what i just did in the pool ;) #fyp #sports #artswim ,1199,66,1,0,5,https://www.tiktok.com/@call.me.kekes/video/7504493511866191135,5/14/2025 19:27
i prefer to float it’s easier on the joints #swimming #artswim #fyp ,11800,1654,6,97,41,https://www.tiktok.com/@call.me.kekes/video/7504153476142828830,5/13/2025 21:28
she’s too cute watching me leave 😭🥹#cat #fyp ,759,24,2,0,1,https://www.tiktok.com/@call.me.kekes/video/7503743615974378783,5/12/2025 18:57
"these tips have helped me get through a lot of stressful moments in school, I hope they can help you! my next video will be abt sports! #school #studentathlete #fyp #balance ",1185,90,1,1,3,https://www.tiktok.com/@call.me.kekes/video/7503770618781879583,5/12/2025 20:42
I hope this helps anyone who may be struggling🫶 it can make a huge difference in how you attack your next practice ;)💪🏼 #fyp #advice ,2563,192,1,8,17,https://www.tiktok.com/@call.me.kekes/video/7502598202667879711,5/9/2025 16:52
pursuing what you love is always worth it ❤️🫶 #fyp #paris #sports ,6655,409,3,5,7,https://www.tiktok.com/@call.me.kekes/video/7502311405345934622,5/8/2025 22:19
trying new things is so important! #fyp #modeling #trynewthings ,1334,85,8,7,0,https://www.tiktok.com/@call.me.kekes/video/7502151125336919327,5/8/2025 11:57
many different sports involve a team aspect! anything else you would like to know? #sports #artisticswimming #fyp ,1079,66,1,0,2,https://www.tiktok.com/@call.me.kekes/video/7501907054102170910,5/7/2025 20:10
Missing the village and my girls a little more today 🥹❤️@Daniella Ramirez  @rubyrem #olympics #teamusa #fyp ,3080,306,1,4,1,https://www.tiktok.com/@call.me.kekes/video/7501407934061055263,5/6/2025 11:53
it’s a personal offense 😂😭 #fyp #artswim #sports ,17200,2243,18,156,103,https://www.tiktok.com/@call.me.kekes/video/7501124186518113566,5/5/2025 17:32
these are too real 😂 happy cinco de mayo #fyp #passingthephone #bf @Landon  ,1079,72,1,2,1,https://www.tiktok.com/@call.me.kekes/video/7501119983196409119,5/5/2025 17:16
how I got started in synchro! #fyp #sports #story ,1472,108,7,2,1,https://www.tiktok.com/@call.me.kekes/video/7500727411521146143,5/4/2025 15:53
